Takt/Zug|Zugnummer|Zugname|Zugtyp|Aktiv|Gruppenbearbeitung|Besteller|Betreiber|Traktionist|Klasse|Zugcharakteristik|Start (Kürzel)|Start|Ziel (Kürzel)|Ziel|Abfahrt|Plan-Ankunft|Real-Ankunft|Von Zug|Auf Zug|Baubetriebsstatus|Statusbezeichnung|VT|Gültig von|Gültig bis|Berechnet|Simulation|Gefiltert|Fehler
\GV_LANGSAM-E\45 Seelze Rbf N - Bebra_Nacht\Takt 5\hin\GV4_ETCS 450000508|450000508|450000508|R|aktiv|N||||Gz|GV4_ETCS/GV4_ETCS|HAHM|Ahlem|FB  R|Bebra Rbf|28:04:23|30:31:00|30:32:17|||Verkehrt|abgestimmt und konfliktfrei|Tgl.|1900-01-01|2099-12-31||||
\GV_LANGSAM-E\45 Seelze Rbf N - Bebra_Nacht\Takt 5\rück|||||N|||||||||||||||||||||||
\GV_LANGSAM-E\45 Seelze Rbf N - Bebra_Nacht\Takt 5\rück\GV4_ETCS 450000513|450000513|450000513|R|inaktiv|N||||Gz|GV4_ETCS/GV4_ETCS|FB  R|Bebra Rbf|HAHM|Ahlem|29:23:39|31:49:13|31:49:27|||Verkehrt|abgestimmt und konfliktfrei|Tgl.|1900-01-01|2099-12-31||||
\GV_LANGSAM-E\45 Seelze Rbf N - Bebra_Nacht\Takt 5\rück\GV4_ETCS 450000501|450000501|450000501|R|aktiv|N||||Gz|GV4_ETCS/GV4_ETCS|FB  R|Bebra Rbf|HAHM|Ahlem|23:23:39|25:49:13|25:49:27|||Verkehrt|abgestimmt und konfliktfrei|Tgl.|1900-01-01|2099-12-31||||
\GV_LANGSAM-E\45 Seelze Rbf N - Bebra_Nacht\Takt 5\rück\GV4_ETCS 450000503|450000503|450000503|R|aktiv|N||||Gz|GV4_ETCS/GV4_ETCS|FB  R|Bebra Rbf|HAHM|Ahlem|24:23:39|26:49:13|26:49:27|||Verkehrt|abgestimmt und konfliktfrei|Tgl.|1900-01-01|2099-12-31||||
\GV_LANGSAM-E\45 Seelze Rbf N - Bebra_Nacht\Takt 5\rück\GV4_ETCS 450000505|450000505|450000505|R|aktiv|N||||Gz|GV4_ETCS/GV4_ETCS|FB  R|Bebra Rbf|HAHM|Ahlem|25:23:39|27:49:13|27:49:27|||Verkehrt|abgestimmt und konfliktfrei|Tgl.|1900-01-01|2099-12-31||||
\GV_LANGSAM-E\45 Seelze Rbf N - Bebra_Nacht\Takt 5\rück\GV4_ETCS 450000507|450000507|450000507|R|aktiv|N||||Gz|GV4_ETCS/GV4_ETCS|FB  R|Bebra Rbf|HAHM|Ahlem|26:23:39|28:49:13|28:49:27|||Verkehrt|abgestimmt und konfliktfrei|Tgl.|1900-01-01|2099-12-31||||
\GV_LANGSAM-E\45 Seelze Rbf N - Bebra_Nacht\Takt 5\rück\GV4_ETCS 450000509|450000509|450000509|R|aktiv|N||||Gz|GV4_ETCS/GV4_ETCS|FB  R|Bebra Rbf|HAHM|Ahlem|27:23:39|29:49:13|29:49:27|||Verkehrt|abgestimmt und konfliktfrei|Tgl.|1900-01-01|2099-12-31||||
\GV_LANGSAM-E\45 Seelze Rbf N - Bebra_Nacht\Takt 5\rück\GV4_ETCS 450000511|450000511|450000511|R|aktiv|N||||Gz|GV4_ETCS/GV4_ETCS|FB  R|Bebra Rbf|HAHM|Ahlem|28:23:39|30:49:13|30:49:27|||Verkehrt|abgestimmt und konfliktfrei|Tgl.|1900-01-01|2099-12-31||||
\GV_LANGSAM-E\45 Seelze Rbf N - Bebra_Nacht\Takt 6|||||N|||||||||||||||||||||||
\GV_LANGSAM-E\45 Seelze Rbf N - Bebra_Nacht\Takt 6\hin|||||N|||||||||||||||||||||||
\GV_LANGSAM-E\45 Seelze Rbf N - Bebra_Nacht\Takt 6\hin\GV4_ETCS 450000612|450000612|450000612|R|inaktiv|N||||Gz|GV4_ETCS/GV4_ETCS|HAHM|Ahlem|FB  R|Bebra Rbf|29:59:53|32:21:30|32:22:05|||Verkehrt|abgestimmt und konfliktfrei|Tgl.|1900-01-01|2099-12-31||||
\GV_LANGSAM-E\45 Seelze Rbf N - Bebra_Nacht\Takt 6\hin\GV4_ETCS 450000600|450000600|450000600|R|aktiv|N||||Gz|GV4_ETCS/GV4_ETCS|HAHM|Ahlem|FB  R|Bebra Rbf|23:59:53|26:21:30|26:22:05|||Verkehrt|abgestimmt und konfliktfrei|Tgl.|1900-01-01|2099-12-31||||
\GV_LANGSAM-E\45 Seelze Rbf N - Bebra_Nacht\Takt 6\hin\GV4_ETCS 450000602|450000602|450000602|R|aktiv|N||||Gz|GV4_ETCS/GV4_ETCS|HAHM|Ahlem|FB  R|Bebra Rbf|24:59:53|27:21:30|27:22:05|||Verkehrt|abgestimmt und konfliktfrei|Tgl.|1900-01-01|2099-12-31||||
\GV_LANGSAM-E\45 Seelze Rbf N - Bebra_Nacht\Takt 6\hin\GV4_ETCS 450000604|450000604|450000604|R|aktiv|N||||Gz|GV4_ETCS/GV4_ETCS|HAHM|Ahlem|FB  R|Bebra Rbf|25:59:53|28:21:30|28:22:05|||Verkehrt|abgestimmt und konfliktfrei|Tgl.|1900-01-01|2099-12-31||||
\GV_LANGSAM-E\45 Seelze Rbf N - Bebra_Nacht\Takt 6\hin\GV4_ETCS 450000606|450000606|450000606|R|aktiv|N||||Gz|GV4_ETCS/GV4_ETCS|HAHM|Ahlem|FB  R|Bebra Rbf|26:59:53|29:21:30|29:22:05|||Verkehrt|abgestimmt und konfliktfrei|Tgl.|1900-01-01|2099-12-31||||
\GV_LANGSAM-E\45 Seelze Rbf N - Bebra_Nacht\Takt 6\hin\GV4_ETCS 450000608|450000608|450000608|R|aktiv|N||||Gz|GV4_ETCS/GV4_ETCS|HAHM|Ahlem|FB  R|Bebra Rbf|27:59:53|30:21:30|30:22:05|||Verkehrt|abgestimmt und konfliktfrei|Tgl.|1900-01-01|2099-12-31||||
\GV_LANGSAM-E\45 Seelze Rbf N - Bebra_Nacht\Takt 6\hin\GV4_ETCS 450000610|450000610|450000610|R|aktiv|N||||Gz|GV4_ETCS/GV4_ETCS|HAHM|Ahlem|FB  R|Bebra Rbf|28:59:53|31:21:30|31:22:05|||Verkehrt|abgestimmt und konfliktfrei|Tgl.|1900-01-01|2099-12-31||||
\GV_LANGSAM-E\45 Seelze Rbf N - Bebra_Nacht\Takt 6\rück|||||N|||||||||||||||||||||||
\GV_LANGSAM-E\45 Seelze Rbf N - Bebra_Nacht\Takt 6\rück\GV4_ETCS 450000613|450000613|450000613|R|inaktiv|N||||Gz|GV4_ETCS/GV4_ETCS|FB  R|Bebra Rbf|HAHM|Ahlem|30:00:20|32:25:37|32:26:08|||Verkehrt|abgestimmt und konfliktfrei|Tgl.|1900-01-01|2099-12-31||||
\GV_LANGSAM-E\45 Seelze Rbf N - Bebra_Nacht\Takt 6\rück\GV4_ETCS 450000601-1|450000601-1|450000601-1|R|aktiv|N||||Gz|GV4_ETCS/GV4_ETCS|FB  R|Bebra Rbf|HAHM|Ahlem|24:00:20|26:25:37|26:26:08|||Verkehrt|abgestimmt aber konfliktbehaftet (SGV)|Tgl.|1900-01-01|2099-12-31||||
\GV_LANGSAM-E\45 Seelze Rbf N - Bebra_Nacht\Takt 6\rück\GV4_ETCS 450000603|450000603|450000603|R|aktiv|N||||Gz|GV4_ETCS/GV4_ETCS|FB  R|Bebra Rbf|HAHM|Ahlem|25:00:20|27:25:37|27:26:08|||Verkehrt|abgestimmt und konfliktfrei|Tgl.|1900-01-01|2099-12-31||||
\GV_LANGSAM-E\45 Seelze Rbf N - Bebra_Nacht\Takt 6\rück\GV4_ETCS 450000605|450000605|450000605|R|aktiv|N||||Gz|GV4_ETCS/GV4_ETCS|FB  R|Bebra Rbf|HAHM|Ahlem|26:00:20|28:25:37|28:26:08|||Verkehrt|abgestimmt und konfliktfrei|Tgl.|1900-01-01|2099-12-31||||
\GV_LANGSAM-E\45 Seelze Rbf N - Bebra_Nacht\Takt 6\rück\GV4_ETCS 450000607|450000607|450000607|R|aktiv|N||||Gz|GV4_ETCS/GV4_ETCS|FB  R|Bebra Rbf|HAHM|Ahlem|27:00:20|29:25:37|29:26:08|||Verkehrt|abgestimmt und konfliktfrei|Tgl.|1900-01-01|2099-12-31||||
\GV_LANGSAM-E\45 Seelze Rbf N - Bebra_Nacht\Takt 6\rück\GV4_ETCS 450000609|450000609|450000609|R|aktiv|N||||Gz|GV4_ETCS/GV4_ETCS|FB  R|Bebra Rbf|HAHM|Ahlem|28:00:20|30:25:37|30:26:08|||Verkehrt|abgestimmt und konfliktfrei|Tgl.|1900-01-01|2099-12-31||||
\GV_LANGSAM-E\45 Seelze Rbf N - Bebra_Nacht\Takt 6\rück\GV4_ETCS 450000611|450000611|450000611|R|aktiv|N||||Gz|GV4_ETCS/GV4_ETCS|FB  R|Bebra Rbf|HAHM|Ahlem|29:00:20|31:25:37|31:26:08|||Verkehrt|abgestimmt und konfliktfrei|Tgl.|1900-01-01|2099-12-31||||
\GV_LANGSAM-E\47 Bebra - Nürnberg Rbf Ausfahrt|||||N|||||||||||||||||||||||
\GV_LANGSAM-E\47 Bebra - Nürnberg Rbf Ausfahrt\Takt 1|||||N|||||||||||||||||||||||
\GV_LANGSAM-E\47 Bebra - Nürnberg Rbf Ausfahrt\Takt 1\hin|||||N|||||||||||||||||||||||
\GV_LANGSAM-E\47 Bebra - Nürnberg Rbf Ausfahrt\Takt 1\hin\GV4_ETCS 47100|47100|47100||aktiv|N||||Gz|GV4_ETCS/GV4_ETCS|FB  R|Bebra Rbf|FFU B|Fulda(Bronnzell)|04:56:02|05:38:46|05:38:46|||Verkehrt|abgestimmt und konfliktfrei|Tgl.|1900-01-01|2099-12-31||||
\GV_LANGSAM-E\47 Bebra - Nürnberg Rbf Ausfahrt\Takt 1\hin\GV4_ETCS 47102|47102|47102||aktiv|N||||Gz|GV4_ETCS/GV4_ETCS|FB  R|Bebra Rbf|FFU B|Fulda(Bronnzell)|06:56:02|07:38:46|07:38:46|||Verkehrt|abgestimmt und konfliktfrei|Tgl.|1900-01-01|2099-12-31||||
\GV_LANGSAM-E\47 Bebra - Nürnberg Rbf Ausfahrt\Takt 1\hin\GV4_ETCS 47104|47104|47104||aktiv|N||||Gz|GV4_ETCS/GV4_ETCS|FB  R|Bebra Rbf|FFU B|Fulda(Bronnzell)|08:56:02|09:38:46|09:38:46|||Verkehrt|abgestimmt und konfliktfrei|Tgl.|1900-01-01|2099-12-31||||
\GV_LANGSAM-E\47 Bebra - Nürnberg Rbf Ausfahrt\Takt 1\hin\GV4_ETCS 47106|47106|47106||aktiv|N||||Gz|GV4_ETCS/GV4_ETCS|FB  R|Bebra Rbf|FFU B|Fulda(Bronnzell)|10:56:02|11:38:46|11:38:46|||Verkehrt|abgestimmt und konfliktfrei|Tgl.|1900-01-01|2099-12-31||||
\GV_LANGSAM-E\47 Bebra - Nürnberg Rbf Ausfahrt\Takt 1\hin\GV4_ETCS 47108|47108|47108||aktiv|N||||Gz|GV4_ETCS/GV4_ETCS|FB  R|Bebra Rbf|FFU B|Fulda(Bronnzell)|12:56:02|13:38:46|13:38:46|||Verkehrt|abgestimmt und konfliktfrei|Tgl.|1900-01-01|2099-12-31||||
\GV_LANGSAM-E\47 Bebra - Nürnberg Rbf Ausfahrt\Takt 1\hin\GV4_ETCS 47110|47110|47110||aktiv|N||||Gz|GV4_ETCS/GV4_ETCS|FB  R|Bebra Rbf|FFU B|Fulda(Bronnzell)|14:56:02|15:38:46|15:38:46|||Verkehrt|abgestimmt und konfliktfrei|Tgl.|1900-01-01|2099-12-31||||
\GV_LANGSAM-E\47 Bebra - Nürnberg Rbf Ausfahrt\Takt 1\hin\GV4_ETCS 47112|47112|47112||aktiv|N||||Gz|GV4_ETCS/GV4_ETCS|FB  R|Bebra Rbf|FFU B|Fulda(Bronnzell)|16:56:02|17:38:46|17:38:46|||Verkehrt|abgestimmt und konfliktfrei|Tgl.|1900-01-01|2099-12-31||||
\GV_LANGSAM-E\47 Bebra - Nürnberg Rbf Ausfahrt\Takt 1\hin\GV4_ETCS 47114|47114|47114||aktiv|N||||Gz|GV4_ETCS/GV4_ETCS|FB  R|Bebra Rbf|FFU B|Fulda(Bronnzell)|18:56:02|19:38:46|19:38:46|||Verkehrt|abgestimmt und konfliktfrei|Tgl.|1900-01-01|2099-12-31||||
\GV_LANGSAM-E\47 Bebra - Nürnberg Rbf Ausfahrt\Takt 1\hin\GV4_ETCS 47116|47116|47116||aktiv|N||||Gz|GV4_ETCS/GV4_ETCS|FB  R|Bebra Rbf|FFU B|Fulda(Bronnzell)|20:56:02|21:38:46|21:38:46|||Verkehrt|abgestimmt und konfliktfrei|Tgl.|1900-01-01|2099-12-31||||
\GV_LANGSAM-E\47 Bebra - Nürnberg Rbf Ausfahrt\Takt 1\rück|||||N|||||||||||||||||||||||
\GV_LANGSAM-E\47 Bebra - Nürnberg Rbf Ausfahrt\Takt 1\rück\GV4_ETCS 47101|47101|47101||aktiv|N||||Gz|GV4_ETCS/GV4_ETCS|FFU B|Fulda(Bronnzell)|FB  R|Bebra Rbf|09:23:39|10:06:10|10:06:37|||Verkehrt|abgestimmt und konfliktfrei|Tgl.|1900-01-01|2099-12-31||||
\GV_LANGSAM-E\47 Bebra - Nürnberg Rbf Ausfahrt\Takt 1\rück\GV4_ETCS 47103|47103|47103||aktiv|N||||Gz|GV4_ETCS/GV4_ETCS|FFU B|Fulda(Bronnzell)|FB  R|Bebra Rbf|11:23:39|12:06:10|12:06:37|||Verkehrt|abgestimmt und konfliktfrei|Tgl.|1900-01-01|2099-12-31||||
\GV_LANGSAM-E\47 Bebra - Nürnberg Rbf Ausfahrt\Takt 1\rück\GV4_ETCS 47105|47105|47105||aktiv|N||||Gz|GV4_ETCS/GV4_ETCS|FFU B|Fulda(Bronnzell)|FB  R|Bebra Rbf|13:23:39|14:06:10|14:06:37|||Verkehrt|abgestimmt und konfliktfrei|Tgl.|1900-01-01|2099-12-31||||
\GV_LANGSAM-E\47 Bebra - Nürnberg Rbf Ausfahrt\Takt 1\rück\GV4_ETCS 47107|47107|47107||aktiv|N||||Gz|GV4_ETCS/GV4_ETCS|FFU B|Fulda(Bronnzell)|FB  R|Bebra Rbf|15:23:39|16:06:10|16:06:37|||Verkehrt|abgestimmt und konfliktfrei|Tgl.|1900-01-01|2099-12-31||||
\GV_LANGSAM-E\47 Bebra - Nürnberg Rbf Ausfahrt\Takt 1\rück\GV4_ETCS 47109|47109|47109||aktiv|N||||Gz|GV4_ETCS/GV4_ETCS|FFU B|Fulda(Bronnzell)|FB  R|Bebra Rbf|17:23:39|18:06:10|18:06:37|||Verkehrt|abgestimmt und konfliktfrei|Tgl.|1900-01-01|2099-12-31||||
\GV_LANGSAM-E\47 Bebra - Nürnberg Rbf Ausfahrt\Takt 1\rück\GV4_ETCS 47111|47111|47111||aktiv|N||||Gz|GV4_ETCS/GV4_ETCS|FFU B|Fulda(Bronnzell)|FB  R|Bebra Rbf|19:23:39|20:06:10|20:06:37|||Verkehrt|abgestimmt und konfliktfrei|Tgl.|1900-01-01|2099-12-31||||
\GV_LANGSAM-E\47 Bebra - Nürnberg Rbf Ausfahrt\Takt 1\rück\GV4_ETCS 47113|47113|47113||aktiv|N||||Gz|GV4_ETCS/GV4_ETCS|FFU B|Fulda(Bronnzell)|FB  R|Bebra Rbf|21:23:39|22:06:10|22:06:37|||Verkehrt|abgestimmt und konfliktfrei|Tgl.|1900-01-01|2099-12-31||||
\GV_LANGSAM-E\47 Bebra - Nürnberg Rbf Ausfahrt\Takt 1\rück\GV4_ETCS 47115|47115|47115||aktiv|N||||Gz|GV4_ETCS/GV4_ETCS|FFU B|Fulda(Bronnzell)|FB  R|Bebra Rbf|23:23:39|24:06:10|24:06:37|||Verkehrt|abgestimmt und konfliktfrei|Tgl.|1900-01-01|2099-12-31||||
\GV_LANGSAM-E\47 Bebra - Nürnberg Rbf Ausfahrt\Takt 1\rück\GV4_ETCS 47117|47117|47117||aktiv|N||||Gz|GV4_ETCS/GV4_ETCS|FFU B|Fulda(Bronnzell)|FB  R|Bebra Rbf|25:23:39|26:06:10|26:06:37|||Verkehrt|abgestimmt und konfliktfrei|Tgl.|1900-01-01|2099-12-31||||
\GV_LANGSAM-E\47 Bebra - Nürnberg Rbf Ausfahrt\Takt 2|||||N|||||||||||||||||||||||
\GV_LANGSAM-E\47 Bebra - Nürnberg Rbf Ausfahrt\Takt 2\hin|||||N|||||||||||||||||||||||
\GV_LANGSAM-E\47 Bebra - Nürnberg Rbf Ausfahrt\Takt 2\hin\GV4_ETCS 47200|47200|47200||aktiv|N||||Gz|GV4_ETCS/GV4_ETCS|FB  R|Bebra Rbf|FFU B|Fulda(Bronnzell)|05:51:20|06:34:04|06:34:04|||Verkehrt|abgestimmt und konfliktfrei|Tgl.|1900-01-01|2099-12-31||||
\GV_LANGSAM-E\47 Bebra - Nürnberg Rbf Ausfahrt\Takt 2\hin\GV4_ETCS 47202|47202|47202||aktiv|N||||Gz|GV4_ETCS/GV4_ETCS|FB  R|Bebra Rbf|FFU B|Fulda(Bronnzell)|07:51:20|08:34:04|08:34:04|||Verkehrt|abgestimmt und konfliktfrei|Tgl.|1900-01-01|2099-12-31||||
\GV_LANGSAM-E\47 Bebra - Nürnberg Rbf Ausfahrt\Takt 2\hin\GV4_ETCS 47204|47204|47204||aktiv|N||||Gz|GV4_ETCS/GV4_ETCS|FB  R|Bebra Rbf|FFU B|Fulda(Bronnzell)|09:51:20|10:34:04|10:34:04|||Verkehrt|abgestimmt und konfliktfrei|Tgl.|1900-01-01|2099-12-31||||
\GV_LANGSAM-E\47 Bebra - Nürnberg Rbf Ausfahrt\Takt 2\hin\GV4_ETCS 47206|47206|47206||aktiv|N||||Gz|GV4_ETCS/GV4_ETCS|FB  R|Bebra Rbf|FFU B|Fulda(Bronnzell)|11:51:20|12:34:04|12:34:04|||Verkehrt|abgestimmt und konfliktfrei|Tgl.|1900-01-01|2099-12-31||||
\GV_LANGSAM-E\47 Bebra - Nürnberg Rbf Ausfahrt\Takt 2\hin\GV4_ETCS 47208|47208|47208||aktiv|N||||Gz|GV4_ETCS/GV4_ETCS|FB  R|Bebra Rbf|FFU B|Fulda(Bronnzell)|13:51:20|14:34:04|14:34:04|||Verkehrt|abgestimmt und konfliktfrei|Tgl.|1900-01-01|2099-12-31||||
\GV_LANGSAM-E\47 Bebra - Nürnberg Rbf Ausfahrt\Takt 2\hin\GV4_ETCS 47210|47210|47210||aktiv|N||||Gz|GV4_ETCS/GV4_ETCS|FB  R|Bebra Rbf|FFU B|Fulda(Bronnzell)|15:51:20|16:34:04|16:34:04|||Verkehrt|abgestimmt und konfliktfrei|Tgl.|1900-01-01|2099-12-31||||
\GV_LANGSAM-E\47 Bebra - Nürnberg Rbf Ausfahrt\Takt 2\hin\GV4_ETCS 47212|47212|47212||aktiv|N||||Gz|GV4_ETCS/GV4_ETCS|FB  R|Bebra Rbf|FFU B|Fulda(Bronnzell)|17:51:20|18:34:04|18:34:04|||Verkehrt|abgestimmt und konfliktfrei|Tgl.|1900-01-01|2099-12-31||||
\GV_LANGSAM-E\47 Bebra - Nürnberg Rbf Ausfahrt\Takt 2\hin\GV4_ETCS 47214|47214|47214||aktiv|N||||Gz|GV4_ETCS/GV4_ETCS|FB  R|Bebra Rbf|FFU B|Fulda(Bronnzell)|19:51:20|20:34:04|20:34:04|||Verkehrt|abgestimmt und konfliktfrei|Tgl.|1900-01-01|2099-12-31||||
\GV_LANGSAM-E\47 Bebra - Nürnberg Rbf Ausfahrt\Takt 2\hin\GV4_ETCS 47216|47216|47216||aktiv|N||||Gz|GV4_ETCS/GV4_ETCS|FB  R|Bebra Rbf|FFU B|Fulda(Bronnzell)|21:51:20|22:34:04|22:34:04|||Verkehrt|abgestimmt und konfliktfrei|Tgl.|1900-01-01|2099-12-31||||
\GV_LANGSAM-E\47 Bebra - Nürnberg Rbf Ausfahrt\Takt 2\rück|||||N|||||||||||||||||||||||
\GV_LANGSAM-E\47 Bebra - Nürnberg Rbf Ausfahrt\Takt 2\rück\GV4_ETCS 47201|47201|47201||aktiv|N||||Gz|GV4_ETCS/GV4_ETCS|FFU B|Fulda(Bronnzell)|FB  R|Bebra Rbf|08:22:28|09:04:59|09:05:27|||Verkehrt|abgestimmt und konfliktfrei|Tgl.|1900-01-01|2099-12-31||||
\GV_LANGSAM-E\47 Bebra - Nürnberg Rbf Ausfahrt\Takt 2\rück\GV4_ETCS 47203|47203|47203||aktiv|N||||Gz|GV4_ETCS/GV4_ETCS|FFU B|Fulda(Bronnzell)|FB  R|Bebra Rbf|10:22:28|11:04:59|11:05:27|||Verkehrt|abgestimmt und konfliktfrei|Tgl.|1900-01-01|2099-12-31||||
\GV_LANGSAM-E\47 Bebra - Nürnberg Rbf Ausfahrt\Takt 2\rück\GV4_ETCS 47205|47205|47205||aktiv|N||||Gz|GV4_ETCS/GV4_ETCS|FFU B|Fulda(Bronnzell)|FB  R|Bebra Rbf|12:22:28|13:04:59|13:05:27|||Verkehrt|abgestimmt und konfliktfrei|Tgl.|1900-01-01|2099-12-31||||
\GV_LANGSAM-E\47 Bebra - Nürnberg Rbf Ausfahrt\Takt 2\rück\GV4_ETCS 47207|47207|47207||aktiv|N||||Gz|GV4_ETCS/GV4_ETCS|FFU B|Fulda(Bronnzell)|FB  R|Bebra Rbf|14:22:28|15:04:59|15:05:27|||Verkehrt|abgestimmt und konfliktfrei|Tgl.|1900-01-01|2099-12-31||||
\GV_LANGSAM-E\47 Bebra - Nürnberg Rbf Ausfahrt\Takt 2\rück\GV4_ETCS 47209|47209|47209||aktiv|N||||Gz|GV4_ETCS/GV4_ETCS|FFU B|Fulda(Bronnzell)|FB  R|Bebra Rbf|16:22:28|17:04:59|17:05:27|||Verkehrt|abgestimmt und konfliktfrei|Tgl.|1900-01-01|2099-12-31||||
\GV_LANGSAM-E\47 Bebra - Nürnberg Rbf Ausfahrt\Takt 2\rück\GV4_ETCS 47211|47211|47211||aktiv|N||||Gz|GV4_ETCS/GV4_ETCS|FFU B|Fulda(Bronnzell)|FB  R|Bebra Rbf|18:22:28|19:04:59|19:05:27|||Verkehrt|abgestimmt und konfliktfrei|Tgl.|1900-01-01|2099-12-31||||
\GV_LANGSAM-E\47 Bebra - Nürnberg Rbf Ausfahrt\Takt 2\rück\GV4_ETCS 47213|47213|47213||aktiv|N||||Gz|GV4_ETCS/GV4_ETCS|FFU B|Fulda(Bronnzell)|FB  R|Bebra Rbf|20:22:28|21:04:59|21:05:27|||Verkehrt|abgestimmt und konfliktfrei|Tgl.|1900-01-01|2099-12-31||||
\GV_LANGSAM-E\47 Bebra - Nürnberg Rbf Ausfahrt\Takt 2\rück\GV4_ETCS 47215|47215|47215||aktiv|N||||Gz|GV4_ETCS/GV4_ETCS|FFU B|Fulda(Bronnzell)|FB  R|Bebra Rbf|22:22:28|23:04:59|23:05:27|||Verkehrt|abgestimmt und konfliktfrei|Tgl.|1900-01-01|2099-12-31||||
\GV_LANGSAM-E\47 Bebra - Nürnberg Rbf Ausfahrt\Takt 2\rück\GV4_ETCS 47217|47217|47217||aktiv|N||||Gz|GV4_ETCS/GV4_ETCS|FFU B|Fulda(Bronnzell)|FB  R|Bebra Rbf|24:22:28|25:04:59|25:05:27|||Verkehrt|abgestimmt und konfliktfrei|Tgl.|1900-01-01|2099-12-31||||
\GV_LANGSAM-E\47 Bebra - Nürnberg Rbf Ausfahrt_Nacht|||||N|||||||||||||||||||||||
\GV_LANGSAM-E\47 Bebra - Nürnberg Rbf Ausfahrt_Nacht\Takt 1|||||N|||||||||||||||||||||||
\GV_LANGSAM-E\47 Bebra - Nürnberg Rbf Ausfahrt_Nacht\Takt 1\hin|||||N|||||||||||||||||||||||
\GV_LANGSAM-E\47 Bebra - Nürnberg Rbf Ausfahrt_Nacht\Takt 1\hin\GV4_ETCS 470000112|470000112|470000112|R|inaktiv|N||||Gz|GV4_ETCS/GV4_ETCS|FB  R|Bebra Rbf|FFU B|Fulda(Bronnzell)|29:43:00|30:25:44|30:25:44|||Verkehrt|abgestimmt und konfliktfrei|Tgl.|1900-01-01|2099-12-31||||
\GV_LANGSAM-E\47 Bebra - Nürnberg Rbf Ausfahrt_Nacht\Takt 1\hin\GV4_ETCS 470000100|470000100|470000100|R|aktiv|N||||Gz|GV4_ETCS/GV4_ETCS|FB  R|Bebra Rbf|FFU B|Fulda(Bronnzell)|23:43:00|24:25:44|24:25:44|||Verkehrt|abgestimmt und konfliktfrei|Tgl.|1900-01-01|2099-12-31||||
\GV_LANGSAM-E\47 Bebra - Nürnberg Rbf Ausfahrt_Nacht\Takt 1\hin\GV4_ETCS 470000102|470000102|470000102|R|aktiv|N||||Gz|GV4_ETCS/GV4_ETCS|FB  R|Bebra Rbf|FFU B|Fulda(Bronnzell)|24:43:00|25:25:44|25:25:44|||Verkehrt|abgestimmt und konfliktfrei|Tgl.|1900-01-01|2099-12-31||||
\GV_LANGSAM-E\47 Bebra - Nürnberg Rbf Ausfahrt_Nacht\Takt 1\hin\GV4_ETCS 470000104|470000104|470000104|R|aktiv|N||||Gz|GV4_ETCS/GV4_ETCS|FB  R|Bebra Rbf|FFU B|Fulda(Bronnzell)|25:43:00|26:25:44|26:25:44|||Verkehrt|abgestimmt und konfliktfrei|Tgl.|1900-01-01|2099-12-31||||
\GV_LANGSAM-E\47 Bebra - Nürnberg Rbf Ausfahrt_Nacht\Takt 1\hin\GV4_ETCS 470000106|470000106|470000106|R|aktiv|N||||Gz|GV4_ETCS/GV4_ETCS|FB  R|Bebra Rbf|FFU B|Fulda(Bronnzell)|26:43:00|27:25:44|27:25:44|||Verkehrt|abgestimmt und konfliktfrei|Tgl.|1900-01-01|2099-12-31||||
\GV_LANGSAM-E\47 Bebra - Nürnberg Rbf Ausfahrt_Nacht\Takt 1\hin\GV4_ETCS 470000108|470000108|470000108|R|aktiv|N||||Gz|GV4_ETCS/GV4_ETCS|FB  R|Bebra Rbf|FFU B|Fulda(Bronnzell)|27:43:00|28:25:44|28:25:44|||Verkehrt|abgestimmt und konfliktfrei|Tgl.|1900-01-01|2099-12-31||||
\GV_LANGSAM-E\47 Bebra - Nürnberg Rbf Ausfahrt_Nacht\Takt 1\hin\GV4_ETCS 470000110|470000110|470000110|R|aktiv|N||||Gz|GV4_ETCS/GV4_ETCS|FB  R|Bebra Rbf|FFU B|Fulda(Bronnzell)|28:43:00|29:25:44|29:25:44|||Verkehrt|abgestimmt und konfliktfrei|Tgl.|1900-01-01|2099-12-31||||
\GV_LANGSAM-E\47 Bebra - Nürnberg Rbf Ausfahrt_Nacht\Takt 1\rück|||||N|||||||||||||||||||||||
\GV_LANGSAM-E\47 Bebra - Nürnberg Rbf Ausfahrt_Nacht\Takt 1\rück\GV4_ETCS 470000105|470000105|470000105|R|inaktiv|N||||Gz|GV4_ETCS/GV4_ETCS|FFU B|Fulda(Bronnzell)|FB  R|Bebra Rbf|29:24:49|30:07:20|30:07:48|||Verkehrt|abgestimmt und konfliktfrei|Tgl.|1900-01-01|2099-12-31||||
\GV_LANGSAM-E\47 Bebra - Nürnberg Rbf Ausfahrt_Nacht\Takt 1\rück\GV4_ETCS 470000107|470000107|470000107|R|inaktiv|N||||Gz|GV4_ETCS/GV4_ETCS|FFU B|Fulda(Bronnzell)|FB  R|Bebra Rbf|30:24:49|31:07:20|31:07:48|||Verkehrt|abgestimmt und konfliktfrei|Tgl.|1900-01-01|2099-12-31||||
