Takt/Zug|Zugnummer|Zugname|Zugtyp|Aktiv|Gruppenbearbeitung|Besteller|Betreiber|Traktionist|Klasse|Zugcharakteristik|Start (Kürzel)|Start|Ziel (Kürzel)|Ziel|Abfahrt|Plan-Ankunft|Real-Ankunft|Von Zug|Auf Zug|Baubetriebsstatus|Statusbezeichnung|VT|Gültig von|Gültig bis|Berechnet|Simulation|Gefiltert|Fehler
"\EXPRESS-D\E01 Göttingen - Erfurt Hbf - Gera - Zwickau Hbf, Chemnitz Hbf | Flügelung: Gößnitz\Flügel 1: Göttingen - Gößnitz - Chemnitz Hbf\rück\RE Diesel kurz 160105"|160105|160105|R|aktiv|N||||NRz|RE - diesel - kurz/RE Diesel kurz|HEBGO|Eichenberg Ostk|HG|Göttingen|12:45:07|12:58:25|12:58:38|||Verkehrt|abgestimmt und konfliktfrei|Tgl.|1900-01-01|2099-12-31||||
"\EXPRESS-D\E01 Göttingen - Erfurt Hbf - Gera - Zwickau Hbf, Chemnitz Hbf | Flügelung: Gößnitz\Flügel 1: Göttingen - Gößnitz - Chemnitz Hbf\rück\RE Diesel kurz 160107"|160107|160107|R|aktiv|N||||NRz|RE - diesel - kurz/RE Diesel kurz|HEBGO|Eichenberg Ostk|HG|Göttingen|14:45:07|14:58:25|14:58:38|||Verkehrt|abgestimmt und konfliktfrei|Tgl.|1900-01-01|2099-12-31||||
"\EXPRESS-D\E01 Göttingen - Erfurt Hbf - Gera - Zwickau Hbf, Chemnitz Hbf | Flügelung: Gößnitz\Flügel 1: Göttingen - Gößnitz - Chemnitz Hbf\rück\RE Diesel kurz 160109"|160109|160109|R|aktiv|N||||NRz|RE - diesel - kurz/RE Diesel kurz|HEBGO|Eichenberg Ostk|HG|Göttingen|16:45:07|16:58:25|16:58:38|||Verkehrt|abgestimmt und konfliktfrei|Tgl.|1900-01-01|2099-12-31||||
"\EXPRESS-D\E01 Göttingen - Erfurt Hbf - Gera - Zwickau Hbf, Chemnitz Hbf | Flügelung: Gößnitz\Flügel 1: Göttingen - Gößnitz - Chemnitz Hbf\rück\RE Diesel kurz 160111"|160111|160111|R|aktiv|N||||NRz|RE - diesel - kurz/RE Diesel kurz|HEBGO|Eichenberg Ostk|HG|Göttingen|18:45:07|18:58:25|18:58:38|||Verkehrt|abgestimmt und konfliktfrei|Tgl.|1900-01-01|2099-12-31||||
"\EXPRESS-D\E01 Göttingen - Erfurt Hbf - Gera - Zwickau Hbf, Chemnitz Hbf | Flügelung: Gößnitz\Flügel 1: Göttingen - Gößnitz - Chemnitz Hbf\rück\RE Diesel kurz 160113"|160113|160113|R|aktiv|N||||NRz|RE - diesel - kurz/RE Diesel kurz|HEBGO|Eichenberg Ostk|HG|Göttingen|20:45:07|20:58:25|20:58:38|||Verkehrt|abgestimmt und konfliktfrei|Tgl.|1900-01-01|2099-12-31||||
"\EXPRESS-D\E01 Göttingen - Erfurt Hbf - Gera - Zwickau Hbf, Chemnitz Hbf | Flügelung: Gößnitz\Flügel 1: Göttingen - Gößnitz - Chemnitz Hbf\rück\RE Diesel kurz 160115"|160115|160115|R|aktiv|N||||NRz|RE - diesel - kurz/RE Diesel kurz|HEBGO|Eichenberg Ostk|HG|Göttingen|22:45:07|22:58:25|22:58:38|||Verkehrt|abgestimmt und konfliktfrei|Tgl.|1900-01-01|2099-12-31||||
"\EXPRESS-D\E01 Göttingen - Erfurt Hbf - Gera - Zwickau Hbf, Chemnitz Hbf | Flügelung: Gößnitz\Takt 3 (Göttingen - Gera)"|||||N|||||||||||||||||||||||
"\EXPRESS-D\E01 Göttingen - Erfurt Hbf - Gera - Zwickau Hbf, Chemnitz Hbf | Flügelung: Gößnitz\Takt 3 (Göttingen - Gera)\hin"|||||N|||||||||||||||||||||||
"\EXPRESS-D\E01 Göttingen - Erfurt Hbf - Gera - Zwickau Hbf, Chemnitz Hbf | Flügelung: Gößnitz\Takt 3 (Göttingen - Gera)\hin\RE Diesel kurz 160180"|160180|160180|R|aktiv|N||||NRz|RE - diesel - kurz/RE Diesel kurz|HG|Göttingen|HEBGO|Eichenberg Ostk|05:15:25|05:28:50|05:28:50|||Verkehrt|nicht abgestimmt|Tgl.|1900-01-01|2099-12-31||||
"\EXPRESS-D\E01 Göttingen - Erfurt Hbf - Gera - Zwickau Hbf, Chemnitz Hbf | Flügelung: Gößnitz\Takt 3 (Göttingen - Gera)\hin\RE Diesel kurz 160182"|160182|160182|R|aktiv|N||||NRz|RE - diesel - kurz/RE Diesel kurz|HG|Göttingen|HEBGO|Eichenberg Ostk|07:15:25|07:28:50|07:28:50|||Verkehrt|nicht abgestimmt|Tgl.|1900-01-01|2099-12-31||||
"\EXPRESS-D\E01 Göttingen - Erfurt Hbf - Gera - Zwickau Hbf, Chemnitz Hbf | Flügelung: Gößnitz\Takt 3 (Göttingen - Gera)\hin\RE Diesel kurz 160184"|160184|160184|R|aktiv|N||||NRz|RE - diesel - kurz/RE Diesel kurz|HG|Göttingen|HEBGO|Eichenberg Ostk|09:15:25|09:28:50|09:28:50|||Verkehrt|nicht abgestimmt|Tgl.|1900-01-01|2099-12-31||||
"\EXPRESS-D\E01 Göttingen - Erfurt Hbf - Gera - Zwickau Hbf, Chemnitz Hbf | Flügelung: Gößnitz\Takt 3 (Göttingen - Gera)\hin\RE Diesel kurz 160186"|160186|160186|R|aktiv|N||||NRz|RE - diesel - kurz/RE Diesel kurz|HG|Göttingen|HEBGO|Eichenberg Ostk|11:15:25|11:28:50|11:28:50|||Verkehrt|nicht abgestimmt|Tgl.|1900-01-01|2099-12-31||||
"\EXPRESS-D\E01 Göttingen - Erfurt Hbf - Gera - Zwickau Hbf, Chemnitz Hbf | Flügelung: Gößnitz\Takt 3 (Göttingen - Gera)\hin\RE Diesel kurz 160188"|160188|160188|R|aktiv|N||||NRz|RE - diesel - kurz/RE Diesel kurz|HG|Göttingen|HEBGO|Eichenberg Ostk|13:15:25|13:28:50|13:28:50|||Verkehrt|nicht abgestimmt|Tgl.|1900-01-01|2099-12-31||||
"\EXPRESS-D\E01 Göttingen - Erfurt Hbf - Gera - Zwickau Hbf, Chemnitz Hbf | Flügelung: Gößnitz\Takt 3 (Göttingen - Gera)\rück"|||||N|||||||||||||||||||||||
"\EXPRESS-D\E01 Göttingen - Erfurt Hbf - Gera - Zwickau Hbf, Chemnitz Hbf | Flügelung: Gößnitz\Takt 3 (Göttingen - Gera)\rück\RE Diesel kurz 160181"|160181|160181|R|aktiv|N||||NRz|RE - diesel - kurz/RE Diesel kurz|HEBGO|Eichenberg Ostk|HG|Göttingen|09:30:29|09:43:47|09:44:00|||Verkehrt|nicht abgestimmt|Tgl.|1900-01-01|2099-12-31||||
"\EXPRESS-D\E01 Göttingen - Erfurt Hbf - Gera - Zwickau Hbf, Chemnitz Hbf | Flügelung: Gößnitz\Takt 3 (Göttingen - Gera)\rück\RE Diesel kurz 160183"|160183|160183|R|aktiv|N||||NRz|RE - diesel - kurz/RE Diesel kurz|HEBGO|Eichenberg Ostk|HG|Göttingen|11:30:29|11:43:47|11:44:00|||Verkehrt|nicht abgestimmt|Tgl.|1900-01-01|2099-12-31||||
"\EXPRESS-D\E01 Göttingen - Erfurt Hbf - Gera - Zwickau Hbf, Chemnitz Hbf | Flügelung: Gößnitz\Takt 3 (Göttingen - Gera)\rück\RE Diesel kurz 160185"|160185|160185|R|aktiv|N||||NRz|RE - diesel - kurz/RE Diesel kurz|HEBGO|Eichenberg Ostk|HG|Göttingen|13:30:29|13:43:47|13:44:00|||Verkehrt|nicht abgestimmt|Tgl.|1900-01-01|2099-12-31||||
"\EXPRESS-D\E01 Göttingen - Erfurt Hbf - Gera - Zwickau Hbf, Chemnitz Hbf | Flügelung: Gößnitz\Takt 3 (Göttingen - Gera)\rück\RE Diesel kurz 160187"|160187|160187|R|aktiv|N||||NRz|RE - diesel - kurz/RE Diesel kurz|HEBGO|Eichenberg Ostk|HG|Göttingen|15:30:29|15:43:47|15:44:00|||Verkehrt|nicht abgestimmt|Tgl.|1900-01-01|2099-12-31||||
"\EXPRESS-D\E01 Göttingen - Erfurt Hbf - Gera - Zwickau Hbf, Chemnitz Hbf | Flügelung: Gößnitz\Takt 3 (Göttingen - Gera)\rück\RE Diesel kurz 160189"|160189|160189|R|aktiv|N||||NRz|RE - diesel - kurz/RE Diesel kurz|HEBGO|Eichenberg Ostk|HG|Göttingen|17:30:29|17:43:47|17:44:00|||Verkehrt|nicht abgestimmt|Tgl.|1900-01-01|2099-12-31||||
\EXPRESS-D\E03 Saarbrücken Hbf - Mainz Hbf, Frankfurt (Main) Hbf|||||N|||||||||||||||||||||||
\EXPRESS-D\E03 Saarbrücken Hbf - Mainz Hbf, Frankfurt (Main) Hbf\Takt 2 (Saarbrücken - Frankfurt)|||||N|||||||||||||||||||||||
\EXPRESS-D\E03 Saarbrücken Hbf - Mainz Hbf, Frankfurt (Main) Hbf\Takt 2 (Saarbrücken - Frankfurt)\hin|||||N|||||||||||||||||||||||
\EXPRESS-D\E03 Saarbrücken Hbf - Mainz Hbf, Frankfurt (Main) Hbf\Takt 2 (Saarbrücken - Frankfurt)\hin\RE Diesel 190350|190350|190350|R|aktiv|N||||NRz|RE - diesel/RE Diesel|FSP S|Ffm Stadion Süd|FF|Frankfurt(M) Hbf|07:36:13|07:43:21|07:43:41|||Verkehrt|abgestimmt und konfliktfrei|Tgl.|1900-01-01|2099-12-31||||
